Franciskus Arnoldi,Russia,Leonidovo,
Eimile Thewlis,China,Heshang,
Raviv MacFie,China,Shuangtang,
Randi Lamplugh,Kazakhstan,Balpyk Bī,
Marijn Collough,Philippines,Libas,
Hedwig Gommes,Japan,Tsukawaki,
Minnaminnie Huxton,Sweden,Farsta,Stockholm
Korney Franceschino,Indonesia,Purwokerto,
Stacy Rendbaek,Philippines,Pasacao,
Marsh Hugueville,Argentina,Rada Tilly,
Brock Willwood,Bulgaria,Velingrad,
Scarlett Llywarch,Malta,Imġarr,
Wendi Faustin,United States,Fort Wayne,Indiana
Candie Dakhov,Indonesia,Kuanheum,
Gustavo Gerg,Peru,Aricapampa,
Skylar Bentsen,Cuba,Santo Domingo,
Alley Feeham,China,Dadong,
Jewell Lambal,China,Chengmen,
Aurea Bilson,Israel,‘Uzeir,
Deb Fyndon,Japan,Amagi,
Dorry Aupol,Russia,Niny,
Scotty Fairholm,China,Didian,
Georgette Longland,China,Sanjiangkou,
Cate Seal,China,Fengchuan,
Minnnie Paula,Philippines,San Jacinto,
Desiri Mathieu,Indonesia,Pojok,
Angelique Viollet,Ecuador,Pasaje,
Tasia Grcic,Czech Republic,Osek nad Bečvou,
Willow Druett,Sweden,Karlskrona,Blekinge
Bunny Cowtherd,Morocco,Boulemane,
Melantha Colloby,China,Pingsha,
Kristel Barehead,Ireland,Charlesland,
Claribel FitzAlan,China,Lingyuan,
Maye Hamstead,Albania,Zall-Dardhë,
Monroe Caught,China,Mintang,
Inigo Driffill,Pakistan,Ghauspur,
Marcela Manwaring,Sweden,Jönköping,Jönköping
Farleigh Hawker,China,Xijiang,
Elwira Elt,Russia,Sapernoye,
Amelie Dobrowski,Pakistan,Gujrāt,
Cooper De Filippo,South Korea,Naju,
Ivy O' Clovan,Brazil,Peruíbe,
Frannie Cluley,United States,Murfreesboro,Tennessee
Barthel Meritt,Philippines,San Lucas,
Dukey Kytter,Russia,Inta,
Gayleen Jonin,Mexico,Loma Bonita,Morelos
Kane Starcks,Panama,Mulatupo,
Silvain Jurczik,China,Hongdu,
Bordie Schieferstein,Ukraine,Vodyane,
Hesther Buske,Colombia,Ortega,
Lissi Ianittello,Pakistan,Bat Khela,
Erina Alabaster,Philippines,Alaminos,
Jordan Drewett,Thailand,Nan,
Bettine Marrows,Japan,Satte,
Lorrie Isaacs,Nigeria,Ifon,
Lombard Merrigan,Brazil,Saquarema,
Lissy Danilovitch,Indonesia,Pelem,
Marna Jeskins,Philippines,Alicia,
Letta Getley,Portugal,Queluz,Lisboa
Ashlee Topham,Belize,San Ignacio,
Inez Spanton,China,Shaxi,
Earle Boultwood,Russia,Yamkino,
Guillemette Glendzer,Colombia,Curumaní,
Zuzana Fatkin,Czech Republic,Potštát,
Reba Tomet,Slovenia,Vitanje,
Robyn Kittiman,Slovenia,Solkan,
Jed Avieson,Kenya,Malindi,
Reba Kidstoun,Russia,Irkutsk,
Kirstyn Cowsby,Norway,Tønsberg,Vestfold
Lilah Philpin,Indonesia,Cipicung,
Farrand Ibbott,United Kingdom,Church End,England
Carlen Gascone,Indonesia,Sunduk,
Carney Caizley,Palestinian Territory,Azun Atme,
Ole Bilbery,Portugal,Quinta,Porto
Lind Claye,Indonesia,Salamwates,
Bea Gamet,Mongolia,Jargalant,
Alphonse Olerenshaw,Poland,Wojcieszków,
Teodor Lippard,France,Saint-Jean-de-Védas,Languedoc-Roussillon
Ingelbert Wildin,Portugal,Casais de Vera Cruz,Coimbra
Berke Cone,Peru,Huanchaco,
Vance Pikhno,France,Carcassonne,Languedoc-Roussillon
Constantine Weafer,Finland,Taipalsaari,
Frankie Yglesia,United Kingdom,Whitchurch,England
Chickie Greaterex,Czech Republic,Opatovice nad Labem,
Dasha Bosward,Pakistan,Panjgūr,
Boote Carney,Palestinian Territory,Wādī as Salqā,
Emylee Alessandrini,Indonesia,Pora,
Kaylyn Hamlett,Russia,Kavalerovo,
Binni Kennewell,Indonesia,Citasuk,
Jewelle Elvin,Indonesia,Batibati,
Lars Hadleigh,China,Hongyanxi,
Erwin Zavattari,Poland,Nowa Dęba,
Vivianna Alpes,United States,Long Beach,California
Porter Langhor,China,Xiongshan,
Maddalena Tace,Russia,Roza,
Estel Digman,Afghanistan,Khudāydād Khēl,
Chase Common,Saudi Arabia,Tārūt,
Mickie Simeoli,Colombia,Corinto,
Torrey Trow,France,Thouars,Poitou-Charentes
Robinson Bram,Canada,Invermere,British Columbia
Robbyn Staley,Guinea,Nzérékoré,
Ralina Bridger,China,Jiuzihe,
Carree Hazeldean,Portugal,Azaruja,Évora
Berke Charker,China,Macha,
Maxi Heugh,France,Paris 04,Île-de-France
Devin Awmack,Macedonia,Старо Нагоричане,
Hildagard Pascall,Russia,Gurbuki,
Elmira Kabos,Portugal,Malveira,Lisboa
Leigh Angliss,France,Thionville,Lorraine
Noelani Soppitt,China,Yangshufang,
Maura Newing,China,Dalinhe,
Barnabe Hallgalley,Indonesia,Ketawang,
Miran Sawood,Indonesia,Srabah,
Gunther Espie,Malaysia,Kuala Terengganu,Terengganu
Selena Clem,Moldova,Bilicenii Vechi,
Janelle Iscowitz,China,Dalongzhan,
Larisa Hinkens,Russia,Slavyansk-na-Kubani,
Amil Persicke,Armenia,Areni,
Mellisa Barfield,Estonia,Kuressaare,
Cindie Burk,China,Luotuo,
Andreana Tripney,Russia,Staroutkinsk,
Maryl McLardie,China,Houyu,
Byran Canfer,Netherlands,'s-Hertogenbosch,Provincie Noord-Brabant
Davine Stefanovic,China,Zhutang,
Irwinn Benz,Philippines,Lunec,
Claribel Lago,China,Aizi,
Barbie Mathieu,Kenya,Kapsabet,
Winthrop Snibson,Saudi Arabia,Farasān,
Erskine Scotney,Russia,Novoul’yanovsk,
Mattie Haggas,Sweden,Vällingby,Stockholm
Karia Behrens,Vietnam,Diên Khánh,
Dona Harrald,Philippines,Calancuasan Norte,
Garald Cawthery,Iran,Behābād,
Cal Delf,China,Jiaqiao,
Retha O'Shavlan,Indonesia,Kudang,
Shep Brik,Japan,Saitama,
Blanch Filchakov,Poland,Lubenia,
Lissa Gudgen,South Africa,Allanridge,
Clarke Sherebrooke,China,Xinxing,
Beilul Hainey,China,Liaozhong,
Philip Pietruszka,Egypt,Al Jīzah,
Israel France,Portugal,Sangalhos,Aveiro
Cate Edmunds,Japan,Hirara,
Merle McGloughlin,Indonesia,Bunder,
Kirsten Casbon,France,Paris 09,Île-de-France
Neils Don,China,Zhoushizhuang,
Goldia Dobel,Ghana,Winneba,
Alon Meddings,Thailand,Bo Phloi,
Caroljean Barrable,Indonesia,Nilanapo,
Tait Davana,China,Anjihai,
Dinny Chrispin,Indonesia,Jatirogo,
Yolande Phare,Brazil,São João del Rei,
Tod Millen,Vietnam,Tân Châu,
Reina Josefovic,Tajikistan,Tursunzoda,
Noll Lambot,China,Luyang,
Ruperta Dockerty,Mexico,Santa Fe,Nuevo Leon
Denver Aubin,Peru,Socos,
Hube Janc,Czech Republic,Kladruby,
Odetta Hobble,China,Fuzhai,
Doti Billingsly,Canada,St. Thomas,Ontario
Bonny Hexter,Sweden,Askim,Västra Götaland
Aurea Menichelli,Sweden,Alvesta,Kronoberg
Jerrie Prendeguest,Peru,Cotaparaco,
Ainslie Hanmer,Poland,Werbkowice,
Wynnie Puddicombe,Indonesia,Segong,
Salome Peegrem,China,Huiyuan,
Jocelyne Shera,Canada,Calmar,Alberta
Abby Godon,Thailand,Pak Phli,
Constantine Tweede,Bangladesh,Lakshmīpur,
Devondra Bazoche,Brazil,Porecatu,
Brooks McGiveen,Russia,Burayevo,
Jenna Feehily,Sweden,Åkersberga,Stockholm
Ode Baleine,Bahamas,George Town,
Kattie Bortolomei,Cuba,Maisí,
Luis Paliser,China,Dongjin,
Karna Novichenko,Vietnam,Thành Phố Thái Bình,
Turner Pierson,China,Shuangyang,
Fabian Lindsley,Zimbabwe,Esigodini,
Una Mallatratt,Philippines,Magsaysay,
Malorie Uff,Thailand,Kao Liao,
Ashlan Farherty,China,Yanglin,
Dorothea McNickle,Mongolia,Sharïngol,
Etta Morritt,China,Dalonghua,
Janessa Hawley,Thailand,Bang Sao Thong,
Jemie Code,Philippines,Gibgos,
Mirabelle Wheildon,Philippines,San Fernando,
Rosaleen Figg,China,Shanhou,
Geralda Whitley,Pakistan,Khadan Khāk,
Jaime Wreath,Philippines,Minapan,
Shanie Sorrell,Poland,Grabów,
Chrotoem Gwillim,Indonesia,Sepatan,
Taber Shackel,Nigeria,Udi,
Claudia Herkess,Pakistan,Dokri,
Catrina Spoward,South Africa,Uitenhage,
Stevana Laban,Mexico,San Antonio,Mexico
Fayina Brettell,Yemen,Ad Dann,
Shaina MacDermot,Indonesia,Buluh Kasap,
Raleigh Dole,Philippines,Payao,
Vachel O'Heaney,China,Hengzhou,
Rickey Hakewell,Pakistan,Lāchi,
Lammond Caris,China,Xixi,
Nancey Plaxton,China,Shangyu,
Gorden Lawtey,China,Zhijiang,
Korney Danskine,Malaysia,Kuala Terengganu,Terengganu
Penrod Andre,Guatemala,Ciudad Vieja,
Evelin Uzzell,Indonesia,Krajan,
Josephina Preist,Jamaica,Alexandria,
Benji Tomaszek,Portugal,Prior Velho,Lisboa
Viola Sandeman,Indonesia,Lajarik,
Garland Matokhnin,Poland,Zagórnik,
Omar Satterly,China,Jinluo,
Rosemaria Deeman,Mexico,Jardin,Tamaulipas
Gerianna Bessey,China,Dadianzi,
Margot Castilljo,China,Jincang,
Karole Budleigh,Cuba,Sagua de Tánamo,
Earlie Fogt,Lithuania,Vievis,
Zach Greenhalgh,United States,Orlando,Florida
Willetta Klewer,Latvia,Preiļi,
Anica Everit,Russia,Staraya Russa,
Tiphanie Fawlo,China,Tangyin,
Torre Demko,Brazil,Tramandaí,
Catarina Nail,Portugal,Algueirão,Lisboa
Fabio Tildesley,Russia,Talitsa,
Eileen Tuff,Philippines,Maindang,
Tiphany Billanie,Portugal,Lobão,Aveiro
Phylis Hirtz,China,Putang,
Lexi Jauncey,Iran,Manūjān,
Danita Yushkin,Malaysia,Ipoh,Perak
Omar Greggersen,Brazil,Teresina,
Hyacinth Stroband,Thailand,Chaloem Phra Kiat,
Antone Kulvear,China,Aimin,
Dinnie Madsen,Philippines,Maloco,
Marsh Ilyuchyov,Japan,Ibusuki,
Tim Schwerin,Dominican Republic,Miches,
Florrie Cassels,Philippines,Pines,
Marietta Kupis,China,Yanzhou,
Cazzie Shemilt,Indonesia,Wahai,
Adolf Sessuns,Thailand,Den Chai,
Agosto McElwee,China,Nanying,
Daron Winterbotham,Portugal,Bicas,Santarém
Alistair Southers,Croatia,Laslovo,
Atlante Suffe,Nigeria,Gujba,
Derrick Garrett,Germany,Wetzlar,Hessen
Koral Shields,Gambia,Bakadagy,
Geordie Olivey,Mali,Dioila,
Karine Bomfield,Portugal,Lomba,Aveiro
Leontyne Wewell,Czech Republic,Loučeň,
Nataline Oldershaw,Pakistan,Bhopālwāla,
Blaire Maryott,China,Shangbahe,
Addy Thirlwell,Venezuela,Aragua de Barcelona,
Errick Welberry,Indonesia,Cipicung,
Libbi Crossley,Thailand,Amnat Charoen,
Cyndy Toothill,Vietnam,Kinh Môn,
Tiphany Kiezler,Venezuela,Quiriquire,
Anatollo Bentame,Philippines,Patayac,
Melicent Blondelle,Indonesia,Ciawitali,
Tanitansy Bulfit,Albania,Fier-Çifçi,
Lanita Malecky,Portugal,Calvão,Aveiro
Jenica Lelande,Portugal,Lagoa,Faro
Hertha Topaz,Russia,Yoshkar-Ola,
Crissy Mandel,United States,Seattle,Washington
Ritchie Pimm,Peru,Huari,
Deck Shelsher,Denmark,København,Region Hovedstaden
Marco Tefft,China,Yanzhou,
Janifer Mc Carrick,Egypt,Saint Catherine,
Darnall Douris,China,Sijiu,
Vassily McAless,Venezuela,San José de Barlovento,
Padgett Ajsik,Sweden,Mölndal,Västra Götaland
Agneta Haugg,Uganda,Wobulenzi,
Corette Wilkowski,Russia,Zhirnovsk,
Durward Franciottoi,Slovenia,Komenda,
Justen Cluff,Portugal,Vista Alegre,Aveiro
Farica Coombe,Philippines,Tandag,
Kenn Kemer,Tanzania,Songea,
Almeda Wase,China,Dazhan,
Sydel Oldacres,Mexico,Emiliano Zapata,Morelos
Bard Atkyns,Sweden,Solna,Stockholm
Aile Parlatt,Brazil,João Câmara,
Corny MacTrustam,United States,Amarillo,Texas
Trude Bratchell,Poland,Bełżec,
Irvin McCaskill,Nigeria,Bassa,
Jeanie Quenby,Cuba,Batabanó,
Sara Fawdrie,Sweden,Visby,Gotland
Hubie Busch,Thailand,Phaya Thai,
Olympe Lyster,Syria,Arwād,
Roxie Leupoldt,Nigeria,Isanlu Itedoijowa,
Berni Craighall,Philippines,Cagdianao,
Conrado Farrear,Russia,Burtunay,
Osgood Lamputt,Panama,El Cortezo,
Luce McFetridge,Indonesia,Karangsari,
Adelaide Fone,Japan,Shizuoka-shi,
Caty Free,France,Chilly-Mazarin,Île-de-France
Alexi Ebsworth,China,Longquan,
Odie Saffrin,Thailand,Ban Selaphum,
Nerte Hook,Brazil,Itapuí,
Loralie Sirey,Colombia,Puerto Boyacá,
Wayland Rouse,Uruguay,Vichadero,
Norby Allsworth,China,Jihuluntu Sumu,
Dawn Mohan,China,Huixian Chengguanzhen,
Abbi Twitty,Panama,Chitré,
Gertrud Schutze,Thailand,Chum Phae,
Jess Collingridge,Vietnam,Vĩnh Thuận,
Orazio Baudou,China,Raoyang,
Reid Sprouls,Poland,Lisewo Malborskie,
Fanchette Loram,Philippines,Prosperidad,
Ramsay Dundridge,China,Shishang,
Issiah Dalglish,Thailand,Sattahip,
Rivy Eagleton,China,Honghai,
Dante Bexon,Canada,Port Hawkesbury,Nova Scotia
Konstance Tettersell,Japan,Nagato,
Jonie McKimm,Russia,Sokolovyy,
Franzen Please,Malaysia,Alor Setar,Kedah
Florette Brookshaw,Philippines,Burauen,
Sarah Orto,Spain,"Hospitalet De Llobregat, L'",Cataluna
Bonny Tomala,Portugal,Porto Formoso,Ilha de São Miguel
Barron Jakubovics,Kazakhstan,Ekibastuz,
Franklyn Renne,Czech Republic,Staré Město,
Hatti Lamort,China,Zhaojia,
Hans Aaronsohn,China,Linjiang,
Lydon Monroe,Democratic Republic of the Congo,Matadi,
Nestor Eatherton,China,Galutu,
Jeni Dumbar,Iceland,Hafnarfjörður,
Mendel Vardie,Brazil,Santa Quitéria,
Travis Dodshun,Philippines,Kawit,
Branden Lenihan,Ukraine,Lityn,
Matti Clayborn,Japan,Atsugi,
Sallie McKibbin,Cuba,Puerto Padre,
Pablo Peploe,Yemen,Al Bāţinah,
Zarla Stachini,Malta,L-Iklin,
Yulma Gregoretti,Brazil,Araripina,
Em Aharoni,Thailand,Prakhon Chai,
Georgie Redholes,Ukraine,Lysyanka,
Linnet Merrgan,Indonesia,Basa,
Branden Ginity,Syria,Ḩarf al Musaytirah,
Biddy Sharman,China,Leifeng,
Abbie Weakley,Belarus,Minsk,
Gabbi Wattingham,Japan,Matsubase,
Misty Snalham,Brazil,Itaitinga,
Bryan Kerr,Portugal,Tomar,Santarém
Rubin Grimsdell,Czech Republic,Slavkov u Brna,
Dorise Brugmann,China,Gabasumdo,
Tedman Eberdt,China,Zhoukou,
Karie Hebditch,China,Daoxu,
Stace Pickrill,Paraguay,Colonia Yguazú,
Rosanna Rountree,Slovenia,Zgornje Gorje,
Hannah Scone,Brazil,Pirajuí,
Nico de Copeman,Greece,Fteliá,
Dud Caskie,Russia,Ust’-Donetskiy,
Chilton Jouen,Indonesia,Kliwon Cibingbin,
Demeter Hiner,Portugal,Seixas do Douro,Guarda
Alta Himsworth,Canada,Lewisporte,Newfoundland and Labrador
Adair Rangall,Portugal,Loureiro,Viana do Castelo
Batholomew Chandlar,Greece,Svorónos,
Joshua Shoorbrooke,Azerbaijan,Bilajari,
Linnie McSharry,Russia,Suslonger,
Levon Dogerty,Sweden,Åkersberga,Stockholm
Aeriela Paradine,China,Simapu,
Byran Ragot,Azerbaijan,Khyzy,
Adela Mellenby,Indonesia,Pakis,
Juana Overlow,Ukraine,Zaliztsi,
Zack Sleet,China,Shache,
Noel Trenaman,Indonesia,Cihideung Satu,
Bev Duddy,Philippines,San Antonio,
Montague Yuranovev,China,Ertai,
Donnajean Dalziel,Brazil,Barra Velha,
Katinka Lethardy,China,Yangmingbu,
Dale Winwood,Pakistan,Qila Saifullāh,
Hale Durrad,China,Sizhou,
Ezmeralda Vannuccinii,Germany,Bochum,Nordrhein-Westfalen
Dinny MacHarg,Malaysia,Kuala Terengganu,Terengganu
Joelly Woolvett,American Samoa,Leone,
Kaylee Boniface,Sweden,Solna,Stockholm
Livy Theakston,Russia,Vyshneye Dolgoye,
Elinore Shillingford,North Korea,Chongjin,
Geralda Smart,China,Dazu,
Rhoda Sells,Russia,Meshcherino,
Eirena Summerside,Poland,Tarnowiec,
Sissie Bartczak,China,Dingbao,
Aguie Mattusov,Portugal,Cascais,Lisboa
Brianna Barthelmes,China,Qiashui,
Clarette Bartlomiejczyk,Egypt,Toukh,
Egbert Muddle,Iran,Jam,
Lynette Fattorini,Syria,‘Ayn al Bayḑā,
Derk Gettings,China,Sanjiao,
Dela Ionnidis,Thailand,Rattanawapi,
Annmaria Birtwistle,Czech Republic,Dolní Dunajovice,
Herc Stollen,Malta,Haz-Zebbug,
Westley Lindup,Poland,Wilkowice,
Graham Fisby,Indonesia,Cibingbin,
Kenon Brasner,China,Meilisi,
Base Treven,China,Yuannan,
Fulton Graffham,Japan,Tokuyama,
Thia Leander,Nigeria,Ila Orangun,
Johny Bryde,Malaysia,Kuala Lumpur,Kuala Lumpur
Rhodia Woolger,China,Gaofeng,
Datha Athy,Indonesia,Lewolere,
Mathian Maultby,Armenia,Gyumri,
Deva Patient,Portugal,São Pedro,Coimbra
Weber Read,France,Nîmes,Languedoc-Roussillon
Baxie Benedicte,Philippines,Badian,
Bran Cicchelli,French Guiana,Cayenne,Guyane
Maryanne Fewings,Russia,Polevskoy,
Aldis Bogaert,Poland,Włoszczowa,
Belita Naisey,Indonesia,Pante Raja,
Elisabeth Swanborrow,Philippines,Atabayan,
Donal Radwell,Malaysia,Bandar Pusat Jengka,Pahang
Tomasine Docharty,Spain,Malaga,Andalucia
